Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
2000-01-03,0.8430764079093933,0.8473127428527208,0.7658766750751846,0.7898840479476212,535796800
2000-01-04,0.7719967365264893,0.8331910099253058,0.7621112161265438,0.8153035838119199,512377600
2000-01-05,0.7832934856414795,0.8327202824380401,0.7757622951639765,0.7814106754522704,778321600
2000-01-06,0.7155084609985352,0.8058886687153648,0.7155084609985352,0.7992988589929749,767972800
2000-01-07,0.749401330947876,0.7606989948460978,0.7192749143700671,0.7268061037100833,460734400
2000-01-10,0.7362210154533386,0.770113056813958,0.7136257849000408,0.768230246632849,505064000
2000-01-11,0.6985625624656677,0.7484600751078841,0.6816165666047048,0.7225699388180935,441548800
2000-01-12,0.6566677093505859,0.7192749229526614,0.6514891398717929,0.715508448349513,976068800
2000-01-13,0.7286890149116516,0.7437522514735527,0.6966797817707027,0.7116249121722589,1032684800
2000-01-14,0.7564616799354553,0.7701127650572871,0.7484597774067564,0.7531667759366196,390376000
2000-01-18,0.7828227877616882,0.7983575423961213,0.7564619378454258,0.7606990776314656,459177600
2000-01-19,0.8025937676429749,0.8190690964959576,0.7785863944428557,0.7955324383580391,597643200
2000-01-20,0.854844868183136,0.9150977083001769,0.854844868183136,0.8699080530727306,1831132800
2000-01-21,0.8383694291114807,0.8604931881230233,0.8298960048234686,0.8604931881230233,495924800
2000-01-24,0.8002402782440186,0.8491954985654233,0.7917668039275692,0.8167155565161309,440876800
2000-01-25,0.8454298973083496,0.8520206121142121,0.7710552077073675,0.7908254415105104,497145600
2000-01-26,0.8298958539962769,0.860022316753056,0.8266009999604171,0.8284837593296744,367158400
2000-01-27,0.8284839987754822,0.8510792797476919,0.8058887680826057,0.8195398584604688,340144000
2000-01-28,0.7654061317443848,0.8350738862441073,0.7578749405589248,0.814832983466567,423348800
2000-01-31,0.7814106345176697,0.7823520647026235,0.7117429404958592,0.7606990698900252,701680000
2000-02-01,0.7550497651100159,0.790825468743934,0.7531670053480412,0.7832934241094509,318035200
2000-02-02,0.7442229986190796,0.7691717570701849,0.7305718566227075,0.7588163754132535,464195200
